MDS1,MDS2,MDS3
-2.528994157,1.304370495,0.547422069
-0.750681094,1.670332801,0.096951161
-1.959167067,-1.935201222,-0.791477339
-3.227161601,-0.15755417,0.517524429
0.664665489,0.371611437,2.596007226
0.521193775,-1.085450728,-2.356545418
-1.802997122,2.876326612,-1.385105363
-2.943244694,-1.273689852,0.346647922
1.086979158,-1.155809439,1.981153055
0.436071951,-0.632818228,-2.740638408
1.295524273,-1.720946861,-0.808031194
-1.640436174,1.784085039,1.418358821
-1.74332539,-2.306059219,-1.577244209
-0.983229569,1.516075881,-2.41372754
0.575195895,2.415784156,-1.880176971
-3.028311964,0.142402157,-0.853510881
1.888497045,-1.431985151,1.023206573
0.827098746,1.000263254,-0.001389829
-1.784777074,0.633292788,1.935151509
0.698998187,-1.7219378,1.578615111
1.113442377,1.398207462,2.191669764
-2.643513649,0.005095364,-2.019048991
-2.10563496,0.935227329,-2.480204877
-1.348016154,2.513473823,0.076256413
2.120506014,-1.635503622,0.054921718
2.40719572,0.925853693,1.753542955
2.293709748,-0.602083194,2.254993645
2.794049494,-0.657517987,-1.448435695
-1.606315357,-2.36673913,0.58686604
1.297863329,0.379039605,-1.584685388
2.29528458,-0.228911479,-0.223536708
-0.013870814,1.337394178,2.108373743
1.741809655,1.862274835,-1.745636384
1.04674838,-2.770247159,-1.824585557
0.426225978,-1.102300885,2.484308617
2.738009716,-0.911970948,0.592571126
0.017009006,-3.040160995,0.287283485
1.958125237,-2.16464367,0.04688003
-0.537517391,-2.651687844,1.124255322
-2.502614942,2.212216138,0.291997945
1.91930369,-0.787610373,-1.824177204
1.83720836,0.348235847,0.312154249
-2.985737273,0.956226997,0.163490436
2.508463845,2.694632537,0.49492189
-2.760582186,-1.052475205,-0.512543327
2.111479844,-2.359897874,-1.557185026
-1.341567651,0.281622378,2.128704256
-0.860464603,-0.219411061,1.444605715
3.103566963,0.09963418,0.080759052
-0.162987379,-2.189985951,-0.538498619
0.07591084,2.781757339,0.793865542
-1.184867335,-1.894842327,-2.174128482
1.837575449,1.138639915,-0.896725239
2.253879811,1.982919407,0.239704388
3.175998668,1.829400432,1.197323195
1.375587918,-0.120965792,1.994177758
-2.294954364,0.141696079,-2.385679768
-2.536310916,0.021238597,1.386170715
2.400514361,1.007764921,-1.268717347
-3.135100594,0.569654504,-0.640973683
0.474832339,1.672340652,-1.931184884
-1.980070414,0.479520211,1.75861077
1.346936582,-1.289695653,-2.323077628
1.043318359,2.924453118,0.127300615
1.043271456,0.35449924,-2.650144715
1.030289212,3.212940747,-0.505289346
-1.518104066,-0.502609613,-1.278108581
-0.578764069,0.903998032,-2.543476503
-1.648248521,-2.219392105,1.611504792
-1.60316169,-1.212224737,2.417585931
-1.296251978,0.028620146,2.734365007
0.433702306,-2.118256942,0.611216185
1.859445251,-1.33953777,0.851776997
-0.854389205,-2.106638889,0.979879199
-0.184117593,2.253641549,1.940815732
