NA,18,14,15,17,14,17,15,16,15,16,19,16,18,15,14,16,15,17,16,17,16,13,17,17,15,16,16,14,15,16,14,17,17,16,15,16,16,16,16,16,8,19,17,17,17,21,15,16,16,20,15,15,19,18,14,18,14,20,17,15,14,15,25,18,18,16,14,16,16,15,18,16,19,16
18,NA,16,14,18,16,15,17,14,18,16,14,15,16,18,17,15,14,18,15,14,16,19,14,18,17,16,15,15,15,15,15,15,17,13,16,14,14,15,14,17,8,17,16,16,17,25,16,17,21,17,17,17,15,16,15,15,20,18,20,16,16,16,16,23,16,18,15,16,16,13,19,15,15,15
14,16,NA,18,19,18,13,19,19,17,17,14,14,17,15,15,16,14,16,14,17,14,16,18,17,15,18,15,19,16,17,15,16,17,14,15,17,20,21,17,18,7,15,16,20,14,21,17,17,15,16,16,15,15,17,14,17,15,14,15,18,15,18,18,17,15,14,21,14,16,18,15,18,14,15
15,14,18,NA,15,15,16,22,20,17,21,16,16,16,15,19,16,15,15,17,13,17,16,17,17,14,15,17,17,17,19,19,17,15,14,15,16,14,16,14,19,8,16,14,18,16,27,16,15,17,16,15,17,15,15,15,17,15,16,14,15,18,17,17,16,18,14,16,15,13,14,17,18,18,21
17,18,19,15,NA,15,15,18,19,15,15,15,16,17,15,17,16,16,15,17,17,17,15,21,18,16,18,14,17,15,13,16,18,21,17,15,16,18,16,15,15,10,18,17,16,16,21,18,13,15,15,17,20,16,15,15,16,14,18,15,18,16,18,14,15,16,14,16,18,19,15,15,20,15,15
14,16,18,15,15,NA,17,15,15,21,18,15,16,16,15,21,15,16,21,15,19,19,15,15,16,17,15,18,17,18,19,18,16,17,15,15,17,15,14,16,15,8,18,15,14,14,22,15,14,15,22,16,18,16,17,16,15,16,13,18,16,17,16,14,15,19,18,14,14,15,14,20,15,14,17
17,15,13,16,15,17,NA,19,17,15,17,16,14,17,15,14,16,18,16,17,18,14,16,17,15,16,17,18,15,21,15,15,18,18,17,18,13,16,16,14,14,8,18,16,20,16,25,15,14,17,16,13,17,18,16,15,19,14,16,17,17,17,15,17,13,16,20,17,15,17,18,15,16,15,15
15,17,19,22,18,15,19,NA,14,18,14,14,17,15,17,14,16,16,18,17,14,16,15,16,16,16,14,17,15,17,17,18,16,13,17,15,15,18,14,17,17,10,17,15,16,17,22,14,19,16,19,15,15,16,13,18,16,18,18,16,17,15,13,14,16,15,17,16,16,16,17,18,15,17,18
16,14,19,20,19,15,17,14,NA,16,19,14,15,18,14,18,17,16,15,16,19,16,15,15,15,15,17,15,17,16,19,13,19,17,14,16,15,17,17,14,15,10,16,20,17,15,23,15,20,16,13,23,14,13,16,15,15,15,18,14,16,19,17,16,14,13,17,18,16,15,18,16,15,14,14
15,18,17,17,15,21,15,18,16,NA,15,15,15,14,15,15,14,18,15,17,20,15,17,16,20,15,15,21,18,14,17,15,16,16,15,19,16,15,16,18,15,7,16,15,13,17,30,15,15,17,14,16,15,16,14,16,16,15,13,15,19,15,18,15,16,16,20,17,16,20,16,15,20,15,18
